"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 14 19:01:56 GMT 2025","Wed May 14 19:01:59 GMT 2025","3179","","NavigationPageTest","","NavigationPageTest","openNavigationPageTest","openNavigationPageTest()",""
"passed","Wed May 14 19:02:10 GMT 2025","Wed May 14 19:02:11 GMT 2025","821","","chapters.ChaptersTest","","chapters.ChaptersTest","chapter4Test","chapter4Test(String, String, String) [2] infinite-scroll.html, Infinite scroll, Infinite scroll",""
"passed","Wed May 14 19:02:17 GMT 2025","Wed May 14 19:02:18 GMT 2025","813","","chapters.ChaptersTest","","chapters.ChaptersTest","chapter4Test","chapter4Test(String, String, String) [8] web-storage.html, Web storage, Web storage",""
"broken","Wed May 14 19:01:44 GMT 2025","Wed May 14 19:01:47 GMT 2025","3222","","HomePageTest","","HomePageTest","signInTest","signInTest()",""
"broken","Wed May 14 19:02:35 GMT 2025","Wed May 14 19:02:35 GMT 2025","290","","patterns.HomePageTestFactory","","patterns.HomePageTestFactory","firstTest","firstTest()",""
"passed","Wed May 14 19:01:50 GMT 2025","Wed May 14 19:01:50 GMT 2025","719","","HomePageTest","","HomePageTest","firstTest","firstTest()",""
"passed","Wed May 14 19:02:13 GMT 2025","Wed May 14 19:02:16 GMT 2025","2856","","chapters.ChaptersTest","","chapters.ChaptersTest","chapter4Test","chapter4Test(String, String, String) [5] frames.html, Frames, Frames",""
"passed","Wed May 14 19:02:31 GMT 2025","Wed May 14 19:02:32 GMT 2025","971","","fluent.LoginPageTestFluent","","fluent.LoginPageTestFluent","successfulLoginTest","successfulLoginTest()",""
"passed","Wed May 14 19:01:49 GMT 2025","Wed May 14 19:01:50 GMT 2025","910","","HomePageTest","","HomePageTest","thirdTest","thirdTest()",""
"passed","Wed May 14 19:02:16 GMT 2025","Wed May 14 19:02:17 GMT 2025","729","","chapters.ChaptersTest","","chapters.ChaptersTest","chapter4Test","chapter4Test(String, String, String) [7] dialog-boxes.html, Dialog boxes, Dialog boxes",""
"passed","Wed May 14 19:02:09 GMT 2025","Wed May 14 19:02:10 GMT 2025","1010","","chapters.ChaptersTest","","chapters.ChaptersTest","chapter4Test","chapter4Test(String, String, String) [1] long-page.html, Long page, This is a long page",""
"passed","Wed May 14 19:02:11 GMT 2025","Wed May 14 19:02:12 GMT 2025","816","","chapters.ChaptersTest","","chapters.ChaptersTest","chapter4Test","chapter4Test(String, String, String) [3] shadow-dom.html, Shadow DOM, Shadow DOM",""
"passed","Wed May 14 19:02:30 GMT 2025","Wed May 14 19:02:30 GMT 2025","781","","chapters.ChaptersTest","","chapters.ChaptersTest","defaultCookiePageTest","defaultCookiePageTest()",""
"passed","Wed May 14 19:02:26 GMT 2025","Wed May 14 19:02:27 GMT 2025","798","","chapters.ChaptersTest","","chapters.ChaptersTest","addedCookiePageTest","addedCookiePageTest()",""
"passed","Wed May 14 19:01:55 GMT 2025","Wed May 14 19:01:56 GMT 2025","618","","HomePageTest","","HomePageTest","secondTest","secondTest()",""
"passed","Wed May 14 19:01:59 GMT 2025","Wed May 14 19:02:04 GMT 2025","4891","","WebFormPageTest","","WebFormPageTest","submitFormTest","submitFormTest()",""
"passed","Wed May 14 19:02:06 GMT 2025","Wed May 14 19:02:09 GMT 2025","2690","","chapters.ChaptersTest","","chapters.ChaptersTest","chapter3Test","chapter3Test()",""
"broken","Wed May 14 19:01:41 GMT 2025","Wed May 14 19:01:43 GMT 2025","2148","","FileUploadTest","","FileUploadTest","uploadFileTest","uploadFileTest()",""
"passed","Wed May 14 19:02:27 GMT 2025","Wed May 14 19:02:30 GMT 2025","2836","","chapters.ChaptersTest","","chapters.ChaptersTest","iFramePageTest","iFramePageTest()",""
"broken","Wed May 14 19:02:37 GMT 2025","Wed May 14 19:02:37 GMT 2025","222","","selenidePomTests.WebFormTests","","selenidePomTests.WebFormTests","openWebFormPage","openWebFormPage()",""
"passed","Wed May 14 19:02:36 GMT 2025","Wed May 14 19:02:36 GMT 2025","403","","pomTests.WebFormPageTest","","pomTests.WebFormPageTest","openWebFormTest","openWebFormTest()",""
"passed","Wed May 14 19:02:30 GMT 2025","Wed May 14 19:02:31 GMT 2025","1015","","fluent.LoginPageTestFluent","","fluent.LoginPageTestFluent","returnOnHomePageAfterSuccessfulLoginTest","returnOnHomePageAfterSuccessfulLoginTest()",""
"passed","Wed May 14 19:02:06 GMT 2025","Wed May 14 19:02:06 GMT 2025","952","","chapters.ChaptersTest","","chapters.ChaptersTest","framePageTest","framePageTest()",""
"broken","Wed May 14 19:02:32 GMT 2025","Wed May 14 19:02:35 GMT 2025","2655","","patterns.HomePageTestFactory","","patterns.HomePageTestFactory","cookiesTest","cookiesTest()",""
"broken","Wed May 14 19:02:36 GMT 2025","Wed May 14 19:02:36 GMT 2025","223","","patterns.HomePageTestFactory","","patterns.HomePageTestFactory","secondTest","secondTest()",""
"passed","Wed May 14 19:02:16 GMT 2025","Wed May 14 19:02:16 GMT 2025","804","","chapters.ChaptersTest","","chapters.ChaptersTest","chapter4Test","chapter4Test(String, String, String) [6] iframes.html, IFrames, IFrame",""
"passed","Wed May 14 19:02:12 GMT 2025","Wed May 14 19:02:13 GMT 2025","764","","chapters.ChaptersTest","","chapters.ChaptersTest","chapter4Test","chapter4Test(String, String, String) [4] cookies.html, Cookies, Cookies",""
"passed","Wed May 14 19:02:04 GMT 2025","Wed May 14 19:02:06 GMT 2025","1584","","chapters.ChaptersTest","","chapters.ChaptersTest","alertPageTest","alertPageTest()",""
"passed","Wed May 14 19:02:25 GMT 2025","Wed May 14 19:02:26 GMT 2025","862","","chapters.ChaptersTest","","chapters.ChaptersTest","deleteCookiePageTest","deleteCookiePageTest()",""
"failed","Wed May 14 19:02:19 GMT 2025","Wed May 14 19:02:20 GMT 2025","809","","chapters.ChaptersTest","","chapters.ChaptersTest","infinitePageTest","infinitePageTest()",""
"passed","Wed May 14 19:01:50 GMT 2025","Wed May 14 19:01:55 GMT 2025","5005","","HomePageTest","","HomePageTest","openWebFormTest","openWebFormTest()",""
"passed","Wed May 14 19:01:47 GMT 2025","Wed May 14 19:01:49 GMT 2025","1796","","HomePageTest","","HomePageTest","cookiesTest","cookiesTest()",""
"broken","Wed May 14 19:02:37 GMT 2025","Wed May 14 19:02:37 GMT 2025","275","","selenidePomTests.WebFormTests","","selenidePomTests.WebFormTests","openHomePage","openHomePage()",""
"passed","Wed May 14 19:02:20 GMT 2025","Wed May 14 19:02:22 GMT 2025","2752","","chapters.ChaptersTest","","chapters.ChaptersTest","shadowDOMPageTest","shadowDOMPageTest()",""
"broken","Wed May 14 19:02:35 GMT 2025","Wed May 14 19:02:36 GMT 2025","227","","patterns.HomePageTestFactory","","patterns.HomePageTestFactory","openWebFormTest","openWebFormTest()",""
"broken","Wed May 14 19:02:36 GMT 2025","Wed May 14 19:02:37 GMT 2025","347","","selenidePomTests.WebFormTests","","selenidePomTests.WebFormTests","readonlyTextTest","readonlyTextTest()",""
"passed","Wed May 14 19:02:18 GMT 2025","Wed May 14 19:02:19 GMT 2025","806","","chapters.ChaptersTest","","chapters.ChaptersTest","longPageTest","longPageTest()",""
"passed","Wed May 14 19:02:22 GMT 2025","Wed May 14 19:02:25 GMT 2025","2767","","chapters.ChaptersTest","","chapters.ChaptersTest","frameNegativePageTest","frameNegativePageTest()",""
